classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
1806,48,146,1615,45,96,1645,1733,57,2
1840,46,155,1951,138,111,1786,1523,90,11
1407,6,247,1879,3252,56,1562,9331,45,2
1840,185,84,1861,271,94,1820,2210,58,63
2128,122,83,2028,1988,91,1973,14289,45,54
2080,91,163,2004,601,140,1885,234,198,41
1980,94,199,1839,125,133,1731,143,164,41
1927,369,83,1793,102,145,1959,3573,45,120
1844,17,158,1901,39,146,1671,321,125,2
1552,181,163,1546,1284,119,1437,1387,78,1
2235,70,209,2098,581,165,2013,4279,45,29
1678,79,212,1865,293,70,1780,13362,45,23
1601,8,266,1601,19,237,1524,46,233,4
1550,23,228,1550,84,231,1354,44,232,8
1672,196,149,1642,391,170,1263,227,169,97
1730,43,179,1764,42,191,1740,656,79,28
1668,13,228,1716,87,167,1800,4503,46,8
2281,24,224,2281,262,224,2233,575,226,14
1691,12,187,1637,24,174,1428,14,176,7
2024,5,267,2024,209,229,2089,939,215,4
1719,37,184,1804,65,150,1405,14,166,33
1689,39,185,1710,45,192,1785,6518,112,11
2040,170,146,2160,231,146,1967,5010,102,12
1712,18,225,1761,63,127,1425,275,158,21
1759,10,229,2069,58,114,2029,1776,80,8
1582,61,189,1615,98,203,1605,1619,83,62
2068,178,111,2119,1970,54,1981,659,52,65
1760,36,172,1871,233,96,1701,892,76,7
2061,84,105,1974,409,108,1997,3904,45,58
2104,94,213,2104,389,213,1862,632,212,1
1988,18,148,2108,650,50,1884,4384,45,8
1691,87,119,1834,383,94,1528,548,76,15
1849,168,121,1847,1961,112,1468,10383,75,8
1875,75,112,1918,72,165,1734,286,129,22
1859,24,219,1859,41,225,1454,198,221,16
1259,5,264,1259,16,233,1311,1,322,1
1173,27,229,1173,108,231,1331,160,234,3
1989,45,169,1950,373,171,1775,544,154,7
1850,102,218,1850,90,221,1085,12,256,16
1739,15,191,2103,1115,72,1781,1232,76,7
2187,79,116,2288,231,84,2210,1088,67,15
2058,15,229,2058,49,228,2047,112,227,8
1616,26,200,1600,79,131,1414,587,86,19
1800,12,220,1800,812,223,1533,1229,213,10
1768,246,103,1882,969,94,1787,2872,45,29
1989,487,134,1843,136,105,1755,302,139,18
1930,170,184,1847,400,120,1804,1201,66,23
2020,14,234,2020,66,234,1651,163,234,8
1465,36,171,1663,144,67,1302,550,52,8
1772,5,298,2158,95,94,1956,4818,45,8
1489,317,197,1489,72,209,1190,44,198,63
1848,48,103,1667,26,207,1302,12,204,32
2200,42,172,2252,734,92,2202,5526,74,15
1914,59,202,1914,104,202,1964,4043,140,21
1877,71,182,1920,71,169,1972,5789,70,52
1489,25,227,1489,51,226,1411,181,227,8
1815,19,211,1815,55,230,1755,587,214,19
1054,7,247,1054,27,220,964,38,213,2
1950,5,263,1923,220,184,1794,3840,146,8
2197,272,116,2059,393,148,2185,6797,62,70
1951,238,89,1763,166,111,1985,2608,45,53
1848,58,170,1854,548,195,1747,417,151,8
1892,7,262,1892,263,214,1796,1334,105,8
2034,37,224,2034,148,229,1674,730,222,15
1911,89,170,1887,31,171,1800,415,104,80
1594,5,267,1594,20,236,1501,95,189,4
1907,65,199,1907,147,200,1770,734,202,48
1299,23,229,1254,339,191,1306,163,232,2
1941,39,118,1916,226,139,2004,3368,82,19
1716,58,167,1477,86,164,1351,331,149,1
2191,146,160,2125,121,157,2016,1361,99,89
2140,305,55,2307,1110,46,2322,5377,45,51
2114,122,147,2383,1250,53,2141,10314,45,19
1938,301,75,2143,1166,51,1946,3773,54,200
1732,591,144,1923,3790,71,1743,1816,74,35
1960,274,76,1809,392,100,1972,3740,51,148
1643,58,162,1545,518,140,1506,1693,79,8
2205,22,165,2315,777,81,2239,26493,46,9
2036,165,78,2234,540,66,2232,8565,45,21
1990,364,81,2030,2197,47,1864,903,66,95
1820,163,99,1635,1475,124,1878,14940,45,69
1704,16,220,1652,108,156,1467,513,155,16
2056,16,180,1991,50,113,2100,1482,63,7
1921,23,221,2024,25,192,2147,949,94,11
1986,252,114,2233,1018,101,2284,14990,45,142
2203,165,119,2371,581,77,2555,12048,46,116
1795,12,206,1795,502,198,1734,1810,116,6
1957,277,155,1837,152,154,1807,6047,64,19
1408,13,230,1402,21,169,1500,0,500,4
2081,64,179,2060,129,178,1803,68,157,31
1765,3,308,1642,27,218,1368,118,133,2
1725,20,216,1832,96,128,1885,990,95,8
1829,118,80,1991,1828,55,1733,2657,46,11
1728,132,169,1582,280,147,1741,3614,45,49
