classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
2025,78,95,2106,62,120,2249,4073,46,9
1779,72,153,1953,281,97,1989,1264,45,22
1617,245,107,1608,788,64,1303,1936,48,28
1749,87,150,1972,954,73,1784,2788,68,10
2161,47,192,2145,123,169,2109,1912,102,11
1709,355,92,1781,1189,103,1673,1434,49,39
1789,20,185,1749,42,189,1851,88,130,7
1810,14,199,2006,252,117,1887,1941,80,6
2058,50,85,2076,237,84,2014,2855,50,12
1711,187,177,1649,83,146,1258,10,212,4
1926,28,167,1865,184,183,2157,2329,98,16
1708,26,157,1635,4300,109,1366,181,149,2
1643,113,123,1736,192,109,1743,1318,60,32
1632,86,141,1498,85,152,1409,223,137,61
1758,122,152,1672,2337,109,1664,1695,96,8
1716,256,143,1662,999,148,1616,1646,79,55
1876,52,168,1864,322,169,1667,2463,154,16
2070,248,125,2052,1030,107,2088,3999,72,15
1842,81,99,1857,20,118,1466,147,96,8
2267,87,86,2600,326,70,2601,1801,45,2
1737,1207,64,1688,548,45,1341,4585,45,19
1915,132,83,2031,296,75,1678,646,46,29
1468,1440,119,1664,692,84,1385,2915,83,17
1603,40,159,1575,291,108,1771,5104,49,1
1900,785,122,2209,6817,48,2054,10270,53,10
1990,30,166,1960,469,148,2089,7869,45,20
1575,92,180,1606,158,155,1616,2477,129,31
1994,153,176,2019,983,174,1919,2630,172,3
1684,44,178,1640,3,395,1633,507,74,9
1691,330,108,1736,487,89,1456,2197,50,107
2202,29,172,2228,252,165,2274,1132,105,1
1981,166,131,1922,1127,118,1919,1696,45,101
1798,80,200,1798,5,244,1500,0,500,5
1066,40,164,1074,59,166,1098,80,167,12
1499,409,147,1310,224,153,1132,381,161,1
1715,27,172,1712,32,185,1500,0,500,6
1858,4,398,2034,65,122,2048,490,75,5
1879,14,209,1848,1056,169,1718,231,169,8
1988,8,243,1988,690,205,1926,2228,80,7
2338,90,181,1860,1273,117,1891,1904,99,1
1878,63,161,2045,503,90,1714,519,87,18
2215,144,68,2241,240,59,2100,1579,53,21
2246,73,130,2182,978,95,2088,358,70,8
2027,87,90,2117,1590,98,2118,6312,45,36
1831,25,192,2105,1360,54,1816,555,69,13
1708,65,93,1725,497,51,1789,3452,45,5
1959,194,67,2108,780,81,2007,7436,46,58
1350,32,190,1371,55,196,915,350,162,8
1958,27,190,1895,584,176,2100,1625,104,17
1624,39,196,1500,0,500,1500,0,500,9
2058,489,117,2126,1328,98,2293,10951,45,29
1728,186,190,1737,101,196,1466,397,196,7
1779,249,147,1889,700,136,1942,5647,46,45
1859,43,90,1741,73,188,1932,372,45,8
2124,37,154,2262,141,65,2249,2995,57,8
1133,10,176,1268,63,126,964,17,151,2
1701,1825,87,1905,3110,69,1732,3201,54,27
1669,36,155,1618,64,155,1510,1489,148,6
1649,10,222,1725,42,200,1630,676,143,11
1865,21,190,1919,90,155,1870,817,165,7
2245,2,396,2369,78,192,2519,1894,56,2
1798,192,182,1864,669,107,1800,1047,62,15
2408,134,89,2446,188,52,2316,929,63,82
1716,55,180,1647,75,187,1576,319,171,12
1637,166,195,1500,0,500,1500,0,500,6
1961,399,82,2016,1173,73,1799,3066,49,51
1688,4,254,1791,57,186,1715,241,186,1
2071,6,218,2040,286,98,2231,2332,61,2
1672,235,71,1524,140,70,1292,1473,53,59
1527,276,187,1575,42,193,1767,4698,47,18
1503,37,142,1498,267,125,1313,956,105,9
2055,22,175,2144,252,80,2212,6477,60,2
1927,257,158,1889,881,151,1682,432,157,1
1900,223,128,1814,185,177,1747,2047,54,20
1540,431,177,1510,73,171,1685,3062,54,5
2200,187,134,2205,2579,121,2104,2971,125,28
1766,18,189,1901,420,75,1837,2999,89,8
1659,155,63,1903,5083,45,1614,212,79,8
1801,9,186,2100,1313,93,2011,5891,90,5
1978,202,86,1930,169,118,1834,164,125,129
1821,263,141,1889,148,61,1715,2138,45,5
2166,161,108,2374,340,96,2267,1528,47,6
1805,459,63,1891,1175,89,1776,2158,87,120
1420,11,224,1552,48,186,1784,455,131,6
1693,530,185,1678,854,186,1441,845,181,1
2021,367,86,2043,513,88,1984,3523,45,101
1753,140,72,2013,588,47,1683,1467,52,29
1912,120,152,1820,795,114,1929,729,121,16
1598,301,164,1627,39,149,1604,521,119,48
2163,189,96,2326,789,75,2164,1622,97,34
2013,294,145,2047,110,73,1927,563,115,11
1909,325,131,1957,1159,91,1974,8075,46,13
2209,14,203,2209,26,208,2086,34,211,7
1874,604,74,2017,637,65,1902,5486,76,125
1856,7,239,2030,33,115,1981,12450,45,1
2137,59,158,2125,2054,134,2227,11667,117,1
2076,55,186,2163,749,184,2006,167,186,10
2233,33,147,2099,118,135,2214,3617,45,10
1919,158,84,2010,468,68,1950,13092,45,15
1608,80,194,1608,818,199,1631,858,179,16
2111,5,239,2123,132,185,2147,1120,170,4
2019,4,305,1851,20,184,1653,230,139,2
2093,65,83,2157,141,78,2105,960,60,21
1609,191,120,1495,141,104,1155,478,81,30
1438,35,172,1644,1435,55,1500,0,500,16
1697,228,158,1612,204,165,1325,1057,155,62
1492,78,170,1479,1453,109,1126,2438,86,1
2156,592,61,2038,927,90,2104,9398,52,148
1742,150,130,1593,1385,154,1677,7156,130,43
1778,43,132,1977,1826,90,1788,4407,45,12
1525,221,90,1577,87,123,1141,16,187,122
1112,29,202,1494,373,113,1230,786,118,7
1895,203,131,1984,8175,56,1652,1159,77,2
2151,38,133,2090,154,86,2101,1401,62,3
2243,80,116,2201,519,91,2258,3491,67,52
2209,68,108,2233,183,85,2164,6054,48,42
2122,13,196,2079,363,76,2008,664,108,2
1855,14,156,2185,8640,45,2051,13961,45,2
1998,30,147,1832,187,77,1479,162,93,5
1960,306,77,1863,361,81,1820,4212,45,156
1940,59,183,1883,35,190,1831,10,208,1
1841,53,102,2083,139,91,1988,2076,59,16
1272,82,196,1272,25,198,1414,5008,77,8
1959,8,235,1826,89,145,1895,3457,88,8
1961,23,156,2015,33,131,1966,3103,62,1
2089,31,125,2501,269,110,2539,2069,94,8
1664,34,174,1610,4,175,1462,109,71,10
1832,298,161,2051,108,122,1988,1473,50,45
1776,54,173,1946,4519,86,1881,7579,55,8
2249,254,72,2439,1241,57,2400,7629,47,35
1997,3774,115,1980,484,82,1500,0,500,8
1925,90,186,1902,46,199,1809,70,81,10
2120,202,126,2261,858,94,2404,12114,45,52
1526,53,130,1732,554,84,1618,2492,45,3
1935,921,99,1976,717,98,1722,857,94,8
1814,41,167,1797,2053,120,1587,1057,118,8
2299,24,158,2500,961,62,2559,11160,45,1
2067,36,154,2474,628,78,2489,4347,63,7
2227,31,191,2214,21,201,2377,1666,46,14
2040,184,127,2078,889,119,2016,1544,45,85
1752,53,122,1676,26,196,1500,0,500,25
1591,124,189,1840,415,58,1705,2648,45,15
1706,40,194,1706,181,196,1461,64,202,16
1820,19,199,1869,865,161,1718,13856,45,7
911,281,172,878,178,175,1500,0,500,41
2077,930,65,1922,166,117,1947,1065,70,122
2001,18,200,2141,295,176,1945,500,113,6
1941,552,86,2190,393,53,2109,1420,52,37
2177,72,155,2228,713,61,2046,3016,65,6
1443,38,183,1366,151,194,1345,2034,179,1
1671,17,188,2044,1458,154,2134,5101,86,1
1988,140,175,1917,804,164,1854,270,191,3
1737,18,169,1848,444,126,1891,3975,58,2
1326,46,152,1348,39,141,1311,289,96,14
1704,2418,45,1581,796,58,1537,2599,45,27
1738,66,75,1790,466,78,1425,1606,76,15
2089,49,146,2273,125,85,2136,1839,47,30
1699,127,167,1724,800,140,1705,1238,114,14
1758,35,188,2180,791,74,1987,14162,77,8
2034,16,199,2203,102,145,2369,4650,45,2
1754,147,176,1713,486,175,1572,455,175,17
1613,740,133,1436,369,112,1279,615,92,1
2032,215,69,2275,9284,48,2157,9804,50,12
2076,288,138,2197,172,76,2179,5557,45,15
2129,484,65,2150,1760,47,2042,3104,49,7
1790,206,141,1710,48,173,1632,1238,132,11
1628,30,186,1386,3,253,1500,0,500,3
1580,188,144,1610,1,315,1500,0,500,7
1473,60,169,1283,5,201,1167,151,103,8
1690,47,168,1702,1328,162,1667,111,158,30
1656,35,172,1516,18,145,1234,315,55,13
2208,138,95,2143,450,120,2151,1268,102,75
1872,105,180,1944,23,110,1769,387,63,8
1737,25,187,1500,0,500,1373,365,178,1
1766,30,163,1793,848,101,1962,11752,45,3
2057,93,124,2204,413,87,2046,2587,75,8
1722,166,97,1826,337,76,1709,4156,45,57
1924,340,136,1995,431,95,1835,1930,47,17
2147,290,67,2041,198,112,1963,687,93,124
2047,425,57,2167,856,86,2109,1837,53,106
1571,10,220,1750,310,124,1792,1484,45,1
1932,150,75,2004,939,57,1800,882,49,39
1761,220,81,1690,114,77,1614,840,56,57
1781,30,171,1974,114,144,1735,1075,113,8
1590,72,139,1548,122,131,1307,25,193,16
2233,160,65,2400,4386,45,2220,22271,45,2
1655,50,177,1501,74,138,1559,883,117,14
1920,90,102,2028,73,124,2001,6226,83,31
2401,324,88,2419,101,102,2523,18001,45,29
2281,259,102,2204,2454,78,2247,3067,45,15
1858,132,84,2000,26,187,1928,1017,81,72
1726,602,151,2030,3879,64,1720,11340,77,11
1640,309,118,1573,132,72,1345,148,108,1
1501,118,157,1749,488,71,1325,1265,79,7
1655,31,179,1799,198,95,1837,1912,45,1
1625,265,166,1745,2033,45,1444,7180,75,7
1831,424,66,1853,845,45,1756,1699,45,9
1842,67,105,2010,484,79,1991,2340,53,19
1902,102,127,2035,565,78,2026,10199,45,32
2048,22,195,2153,144,165,2135,61,161,3
2186,35,183,2146,14,206,1899,80,169,5
1854,46,93,1998,691,93,1954,4720,45,4
1748,471,137,1879,2463,46,1586,542,97,2
1944,46,178,1730,62,190,1646,467,109,23
1231,73,173,1202,151,161,1303,12,200,20
1824,443,134,1904,5,167,1496,1409,57,1
2070,169,137,1805,899,121,1718,1247,84,1
1855,409,63,1886,213,82,1819,853,45,118
1883,367,164,2011,913,71,1649,3758,59,10
1671,17,192,1515,2,244,1774,1053,95,6
1784,729,72,1973,772,49,1713,2755,63,114
1833,41,157,1631,13,168,1736,1273,131,20
1486,132,135,1597,116,100,1507,548,45,16
1813,53,183,1647,18,190,1501,165,177,1
1833,23,159,2028,237,107,1953,1186,103,7
1703,450,132,1415,17,164,1359,447,120,12
2065,2838,121,2132,1833,49,1950,786,55,23
1685,20,188,1746,8,159,1800,171,102,5
1874,63,142,2042,4,184,1838,2,281,33
2211,71,133,2227,232,110,2459,11718,45,25
1985,271,66,1989,2239,59,1888,2506,45,7
2102,342,55,2021,888,45,2009,2758,45,34
1598,221,70,1813,335,65,1658,850,64,4
1897,184,99,1861,737,47,1610,1243,45,20
1390,24,188,1256,252,158,1209,974,64,2
2175,71,117,2221,281,75,2129,2220,61,1
1887,204,119,1826,60,115,1691,1134,83,1
1998,219,95,1926,287,108,1802,2200,80,104
1596,16,196,1624,8,211,1246,6,195,1
1769,503,110,1760,1132,78,1468,2420,51,8
1792,24,177,1500,0,500,1459,49,159,1
1794,28,189,1863,45,189,2089,1849,117,5
1354,10,217,1180,23,200,1145,5,307,3
1902,174,179,1742,242,187,1558,556,184,2
1507,64,163,1483,173,151,1162,291,150,1
1888,146,161,1832,90,162,1711,18,190,27
2037,51,170,2145,308,176,2187,3460,74,2
2029,365,136,2009,101,99,2063,2513,119,9
1553,65,164,1470,32,140,1219,1076,89,15
1596,49,162,1304,10,183,1291,1476,92,8
1461,190,150,1473,72,142,1484,2081,45,8
2051,263,87,1900,502,190,1669,586,130,25
2164,93,100,1715,2,261,1803,31,140,59
1564,110,156,1597,593,150,1427,9634,49,8
1688,210,136,1759,4484,111,1752,7088,45,33
2153,37,141,1975,29,141,1900,98,134,10
1710,146,78,1752,167,89,1569,941,67,86
1787,378,103,1686,512,97,1491,1120,45,8
2019,106,118,2062,338,164,1978,1727,85,46
1799,62,181,1844,385,128,1790,1470,78,8
1784,15,191,1883,36,153,1943,177,99,2
1675,71,163,1778,47,136,1529,905,122,14
1389,81,137,1387,68,122,1402,1389,100,10
2060,130,130,2053,103,66,1500,0,500,14
1874,479,64,1871,574,71,1757,3053,46,124
1771,103,152,2042,507,45,1795,6193,59,8
1640,268,163,1468,49,105,1370,792,96,1
1547,61,160,1256,807,129,1084,243,156,3
1617,23,170,1838,121,71,1669,1159,78,3
1926,557,137,1736,697,157,1722,895,131,7
1741,123,140,2180,1432,88,1909,7106,45,16
1757,141,138,1761,187,136,1536,2630,71,16
2214,317,59,2421,6227,45,2255,11205,46,109
1936,251,91,1962,66,104,1829,8962,45,29
2248,283,74,2492,5031,45,2400,8701,54,6
1629,98,163,1609,117,65,1323,308,48,17
1755,91,153,1832,445,79,1902,4623,47,22
1658,45,106,1481,94,89,1284,45,195,8
2100,617,99,2246,1964,46,2200,5085,51,32
1807,42,143,1916,190,75,1889,10613,45,16
2198,45,163,2354,515,66,2332,7094,45,1
2004,1331,118,2025,1527,94,2013,4187,103,10
1826,59,182,1500,0,500,1622,34,158,7
1643,354,162,1504,170,141,1016,101,142,20
1796,1069,77,1573,450,135,1448,2,275,1
1640,411,164,1476,108,154,1440,750,146,9
2136,82,93,2263,57,88,2151,497,59,35
1811,169,76,2051,81,82,1875,1271,45,129
1321,142,130,1367,448,49,1014,516,51,7
1999,740,113,1902,1504,120,1718,857,112,31
2020,318,131,1885,327,85,1959,942,74,21
2115,65,152,2334,108,80,2136,13836,45,6
1915,91,83,1979,315,54,1973,1616,52,38
2026,87,123,2069,51,115,1890,216,148,26
1848,102,116,1859,46,129,1622,194,107,53
1628,54,134,1664,37,172,1592,2469,91,26
1865,279,95,1864,300,74,1739,1017,87,18
2091,48,91,1917,21,114,1906,10,181,16
2000,159,98,2187,1423,65,2057,4965,45,19
1569,173,137,1610,45,120,1022,16,144,25
2342,54,153,2362,26,126,2391,715,80,8
1543,86,180,1399,499,129,1208,351,162,8
1959,59,133,1976,883,106,2029,1661,131,12
1734,53,123,1719,174,47,1570,1432,46,1
1823,63,116,1920,381,83,1979,3086,77,11
2213,3262,67,2260,1940,52,2183,7362,45,68
1825,1270,82,2105,1344,45,1934,4755,46,90
1690,16,181,1605,13,212,1507,176,125,1
1205,121,152,1048,135,182,1007,53,159,18
1680,74,137,1815,406,100,1795,1533,45,29
1984,244,79,2002,1544,50,1856,2695,88,103
1784,276,124,1633,190,80,1366,150,81,2
1695,303,75,1847,1307,52,1683,480,64,1
1753,37,178,1863,154,91,1914,1909,105,22
1967,42,181,2151,292,114,2094,5119,96,7
1630,316,162,1205,6,176,1250,65,152,2
1937,164,127,1752,67,186,1925,1525,45,8
2040,123,162,2022,265,130,1873,2187,54,12
2153,22,182,2126,682,165,2140,12420,45,8
2176,789,128,2122,1123,136,2012,822,135,37
1546,43,188,1719,240,126,1568,866,93,8
1970,173,103,2212,339,97,2001,3831,54,43
1690,1617,110,2010,12821,62,2027,5686,45,8
1679,27,181,1736,299,116,1811,1494,75,10
2005,37,106,2279,286,58,2189,4773,49,11
1918,136,90,1893,179,88,1896,2941,52,40
2039,48,180,1981,80,177,1891,131,178,5
2285,168,68,2320,406,76,2389,7107,45,41
1630,19,192,1364,2,283,1660,3924,45,6
1816,324,73,1437,12,190,1379,10,117,118
1552,389,149,1332,257,86,1226,2,263,8
1943,37,173,1967,506,49,1825,2625,46,17
1997,2871,53,1902,221,106,1833,899,67,119
1368,335,165,1196,23,173,997,9,204,4
1859,107,116,1524,9,146,1478,89,155,8
1605,149,101,1748,300,92,1501,447,59,41
1627,93,149,1887,918,120,1823,3370,108,16
2102,117,120,2106,384,84,2014,1198,69,26
1765,325,132,1701,657,124,1537,875,128,21
1574,121,176,1500,0,500,1159,92,103,1
1410,64,189,1550,40,102,1380,200,86,2
2003,212,77,2086,154,80,1908,347,76,38
2088,122,119,2246,1077,78,2068,5600,77,14
1818,258,78,1858,749,95,1752,1092,77,54
1905,321,153,1900,326,142,1852,4179,117,7
1665,324,129,1526,808,64,1510,2150,47,1
1836,164,114,1883,1266,102,1623,2138,85,22
1714,84,175,1402,15,192,1367,608,133,2
1938,41,170,2235,7,177,1969,103,124,10
1924,485,115,2004,287,52,1803,898,54,3
1924,653,67,2084,7038,45,1885,4227,45,98
1767,219,68,1787,671,52,1495,149,84,76
2124,247,115,2070,47,140,2159,467,50,37
2043,51,169,2006,67,175,2098,236,164,7
1371,44,169,1405,214,89,1298,11,203,16
2200,278,139,2200,327,196,2216,4690,48,16
1421,104,151,1395,9,203,964,351,151,14
1513,52,164,1624,309,122,1370,1503,54,5
1796,31,183,1839,31,186,1737,83,182,14
1979,37,145,2209,158,62,2071,5045,45,9
1920,514,109,1951,90,76,1705,1216,51,25
2045,27,188,2215,71,187,2371,1805,77,6
1392,43,168,1376,53,200,1421,8,234,3
1955,93,143,2026,269,90,1910,993,62,8
1921,351,92,1934,365,89,1745,3055,57,108
2122,349,83,2244,176,60,2204,2552,45,32
1700,37,186,1658,51,191,1400,84,175,8
2230,103,62,2322,126,90,2225,206,78,37
1263,39,189,1834,1377,153,1534,1775,78,5
1839,42,123,1921,28,116,1716,1263,45,5
1874,33,168,1899,278,144,1776,1935,59,13
1815,97,152,1981,786,130,2003,2399,119,18
1824,20,176,1915,869,78,1786,872,56,5
2097,64,171,2118,59,194,2004,2957,168,17
1915,111,102,2175,2525,50,1983,3106,46,9
2181,470,60,2261,792,83,2201,1968,45,80
1811,105,117,1803,132,115,1701,961,69,16
1992,108,153,2114,106,156,1885,3333,145,1
1297,79,160,1252,122,160,1247,109,172,1
1684,82,156,1656,425,140,1699,4853,45,8
1590,120,123,2183,1153,59,2039,2014,50,7
1811,43,178,2001,83,74,1919,656,61,7
2304,96,122,2334,261,91,2157,274,104,22
1822,64,133,2004,734,89,1800,3284,81,15
1748,166,185,1675,152,155,1413,515,154,6
1607,33,190,1743,32,190,1623,612,139,2
1851,370,72,1946,254,57,1806,2104,46,132
1850,39,108,2009,196,92,1953,1268,71,9
1911,48,166,2036,375,180,2033,651,120,31
1396,26,177,1553,23,148,1362,756,74,8
1882,95,120,2034,289,144,2134,10584,45,12
1487,274,76,1599,315,73,1618,532,72,119
1682,76,172,1645,43,157,1618,51,151,4
2019,22,184,1500,0,500,1500,0,500,8
2103,100,136,2103,347,148,2103,1476,127,2
2069,193,122,2074,901,95,1978,2989,121,31
2058,35,180,1500,0,500,2153,18,194,3
2351,179,79,2411,448,77,2256,407,87,46
1658,32,186,1580,32,186,1479,2,279,8
1857,114,133,1697,98,134,1649,303,166,24
2018,78,147,2018,51,187,2075,58,59,8
2126,45,161,2310,131,150,2370,1060,128,8
1937,26,178,1883,114,173,1404,4239,77,8
1179,39,188,1500,0,500,1500,0,500,1
1587,293,76,1517,266,105,1502,40,120,127
2083,160,94,2092,668,64,1834,748,45,11
1828,153,116,2100,817,45,2000,1656,45,16
1939,621,59,2014,9579,45,1921,5977,45,107
1575,397,137,1576,191,104,1683,4234,83,18
1726,829,146,2008,462,119,1893,2846,47,1
1656,163,169,1500,0,500,1382,483,166,3
1668,155,92,1646,479,85,1453,1399,54,8
2039,430,111,1970,259,63,1830,7083,46,3
1885,54,144,2113,498,121,2030,669,112,1
1809,281,139,1869,327,73,1524,1392,63,8
2181,44,148,1500,0,500,2194,257,118,8
2104,53,97,2133,64,85,1765,9,178,39
1368,117,151,1133,95,152,1175,485,150,8
2021,973,109,1986,1024,98,2047,3304,68,24
1801,30,176,1736,2,322,1675,72,127,8
1422,104,110,1500,392,116,1335,11842,45,54
2232,122,93,2247,520,94,2195,17340,49,34
1543,26,166,1614,614,90,1252,104,84,16
1800,157,77,1800,485,65,1725,4213,45,17
1481,19,175,1517,2,256,1301,298,154,1
1853,77,154,1688,1,294,1657,131,88,21
1759,19,165,1592,107,115,1715,4364,45,2
2174,543,101,2255,1673,75,2270,5510,79,44
1953,83,127,2254,1452,79,2180,8685,90,4
2170,131,77,2392,190,65,2241,2011,52,28
1851,93,133,1500,0,500,1500,0,500,22
1653,58,104,1709,16,109,1161,755,87,10
1431,127,153,1450,15,113,1131,2939,45,13
1817,96,136,1759,71,105,1452,162,108,1
1910,222,148,1779,736,155,1729,385,127,8
1937,78,105,1906,92,100,1774,189,122,5
2116,182,126,2148,26,164,2213,2466,45,62
2255,127,96,2405,70,95,2429,1282,45,58
1597,28,154,1697,83,110,1665,152,60,1
1531,42,159,1500,0,500,1500,0,500,5
1918,331,88,1861,648,75,1674,1170,68,23
1758,186,116,1597,517,91,1358,410,85,57
2100,695,63,2230,1140,73,2400,6441,63,51
1705,55,109,1818,168,131,1761,7124,84,8
1801,151,156,1763,408,147,2065,1456,76,3
1108,100,172,1234,395,171,1452,2574,109,2
1784,40,173,1500,0,500,1536,92,126,3
1441,26,180,1487,8,239,898,146,168,6
1716,31,173,1869,261,60,1663,732,54,1
1870,73,119,1815,11,169,1780,185,116,63
2020,78,103,1705,294,158,1465,9,203,13
1802,247,67,1896,807,66,1872,2860,59,43
1791,49,162,1914,102,147,1765,1105,108,13
1828,18,171,1816,4,415,1565,356,162,8
1790,33,157,1795,56,109,1740,1095,60,15
2092,30,132,2031,46,153,1991,100,128,1
1892,31,176,1955,221,174,1750,1468,150,1
1782,139,73,1609,61,120,1753,642,65,93
1898,305,114,1803,187,92,1669,3581,49,21
1895,38,155,1929,82,150,1926,206,109,15
1850,409,98,1821,2494,45,1551,700,71,13
2042,645,132,2112,29,130,1822,3858,45,40
1617,41,144,2071,3007,54,1844,383,60,9
1854,37,162,2015,292,75,1901,2314,54,3
1680,116,147,1649,106,96,1530,716,77,29
1672,153,106,1475,72,100,1486,1232,93,8
1714,212,78,1563,227,101,1110,57,156,82
1698,129,91,1959,782,59,1677,162,100,32
1529,37,153,1251,1,301,1500,0,500,14
1996,124,169,1904,181,107,2037,1818,72,1
1664,536,74,1842,703,76,1492,953,75,46
1504,95,166,1171,25,180,1074,12,188,8
2167,86,116,2194,94,99,2102,1564,80,8
1554,35,172,2028,1805,50,1824,11727,45,3
1764,95,92,1871,347,55,1762,873,68,15
2168,60,154,2187,26,108,2408,12190,45,15
1445,28,119,1424,47,69,1118,29,90,15
2045,74,83,2032,66,110,1926,3063,100,39
2038,297,67,2184,1264,52,2081,1378,45,57
1559,116,153,1900,1192,106,1711,1540,49,15
1798,178,100,1831,165,92,1675,805,120,76
2345,51,134,2349,488,95,2534,5074,45,7
2039,127,142,2006,90,154,2213,6026,45,7
1535,856,147,1326,274,165,1284,511,152,4
2278,60,180,2501,109,181,2622,118,97,7
1593,367,133,1417,89,88,1108,49,116,8
2343,554,82,2503,4080,57,2353,6552,48,7
2055,247,76,2108,1096,83,2012,2322,49,86
2235,245,69,2280,149,78,2028,1469,93,76
1952,513,63,2001,155,80,1958,115,175,13
1297,32,169,1204,54,164,1017,63,102,7
1738,640,83,1607,1710,45,1248,5160,62,8
1974,818,136,2067,107,150,1956,3805,77,42
1795,61,97,1337,1,330,1445,151,107,51
1407,53,162,1329,3,236,1104,68,135,5
2119,188,113,1945,566,156,1776,394,160,26
2000,134,150,2165,335,70,2056,1937,60,9
1863,149,84,1838,14,146,1813,1289,45,24
1618,174,143,1411,8,197,1366,782,91,7
1893,167,145,2192,1001,54,2201,5464,46,5
1421,617,75,1397,753,45,1034,422,49,88
1951,223,73,2102,854,53,1937,4966,45,100
2107,289,68,2129,1036,45,2041,3330,45,101
1971,185,69,2110,281,46,2031,896,53,49
2288,641,105,2487,429,88,2312,3734,81,10
1977,95,134,1763,7,166,1932,310,104,4
1687,66,106,1497,43,111,1294,122,95,7
2028,262,88,2198,265,60,2015,1875,45,42
1830,50,122,1811,32,137,1767,121,112,2
1693,221,77,1750,133,109,1904,291,68,89
2083,181,141,2130,1042,122,1980,3654,53,11
2026,25,168,2031,94,192,1908,560,139,3
1603,293,109,1631,114,112,1323,140,112,30
1686,88,133,1211,8,184,1549,39,150,4
1890,139,147,1898,295,143,1500,0,500,8
1775,975,144,1619,288,91,1506,5385,45,34
2075,29,171,2150,102,152,2058,3556,103,7
1680,51,163,1947,11,132,1628,7,218,3
1895,819,110,2095,462,58,1893,1623,51,3
1855,167,84,1544,64,94,1503,9,177,44
1723,113,154,1813,821,87,1592,459,45,16
1184,60,148,1031,147,149,869,14,171,3
1695,147,73,1659,251,108,1585,1188,62,92
2117,69,125,2158,342,134,2221,9875,56,51
2159,85,85,2052,264,140,2079,2324,81,31
2170,852,115,2155,684,92,1882,179,70,36
1818,409,67,1500,0,500,1777,2,234,1
1963,279,97,2265,1068,51,2203,13786,45,47
1918,563,131,1902,119,110,1833,3750,45,3
1931,222,127,2011,661,106,1794,3564,45,3
2159,489,71,2283,1894,50,2234,6463,45,95
2006,78,143,1800,104,163,1766,196,152,23
2006,65,148,2032,40,163,2119,6332,60,10
1980,18,176,1922,192,180,2026,10268,45,3
1943,34,148,2209,264,67,1969,2923,52,2
1964,850,141,2089,293,105,1987,2052,50,7
2063,57,120,2102,1057,78,2048,2130,45,40
1713,331,159,1901,1145,74,1723,2546,45,8
1948,937,74,2091,453,47,1928,2292,45,76
2065,186,153,1853,5,218,1853,19,175,29
1908,42,164,1500,0,500,1672,70,158,7
2014,257,65,1919,273,65,1851,1278,63,17
2038,613,74,2169,610,46,2011,3360,45,39
1825,110,88,1997,179,54,1731,1268,46,44
1688,67,139,1890,140,65,1806,2951,45,19
2002,69,115,2032,297,88,1970,798,64,3
1671,724,87,1841,523,87,1988,8742,49,46
1563,164,127,1461,805,131,1688,2449,58,35
1505,58,161,1454,33,122,1232,280,92,7
1998,1337,52,2153,2935,47,2156,14011,46,104
1679,212,97,1797,809,75,1506,3394,66,45
1916,83,114,2356,446,76,2237,2683,46,5
1863,301,131,2186,701,68,1914,2246,45,1
1996,26,133,1993,12,175,2108,480,53,3
1840,873,109,1906,1583,45,1747,6864,45,2
2125,957,58,2221,842,45,1979,1278,48,78
1712,167,96,1500,0,500,1500,0,500,12
1897,235,53,1936,591,45,1772,2993,55,84
2105,760,50,2145,423,71,2191,4416,62,68
2378,327,106,2679,629,69,2650,7752,56,7
1394,135,160,1417,76,96,1029,28,143,8
1369,42,154,1500,0,500,1215,57,165,21
1949,128,108,1630,267,160,1700,1010,141,32
2089,37,147,2172,25,173,2171,95,147,17
1893,737,123,1862,1399,119,1826,2313,120,56
1670,25,159,1789,28,171,1333,98,153,18
1785,40,132,1832,79,97,1519,2070,58,26
1953,125,97,2162,563,45,1994,2446,45,8
1746,152,105,1689,151,134,1359,3267,45,29
1392,65,152,1365,2,310,1133,987,45,15
1885,86,136,1951,296,115,1889,4470,54,8
1818,377,148,1799,405,148,1712,1757,120,16
1948,69,119,2122,397,105,2121,5730,45,1
1994,841,62,2053,700,79,1953,1061,77,7
1761,1310,51,1674,1022,85,1494,4095,45,1
2077,96,106,1733,67,106,1731,4195,45,41
2109,43,174,2250,767,160,2203,4591,73,1
2159,80,153,2178,218,124,2031,1011,94,17
1617,174,71,1718,224,54,1792,942,45,20
2093,285,94,2104,1206,72,2015,10179,45,74
1172,123,114,1084,68,90,989,110,81,1
2087,60,102,2066,174,66,1898,4457,45,21
1802,636,105,1800,1021,104,1666,839,45,4
1875,127,78,2139,58,82,2013,2688,73,23
1571,275,137,1593,1101,104,1579,1279,52,8
2243,275,67,2179,698,105,2168,6265,45,90
1727,70,161,1500,0,500,1497,329,51,8
1911,564,89,1878,1053,73,1784,1785,50,15
1701,84,138,1718,36,147,1532,239,103,15
1919,397,98,1818,182,100,1658,670,78,16
1651,286,146,1882,997,103,1829,5645,63,25
1875,457,132,1867,632,86,1717,1608,45,3
1938,119,106,2035,340,58,1862,1128,45,9
1697,138,156,1500,0,500,1278,11,191,22
1846,150,90,2041,118,78,1927,509,71,8
1811,596,56,1831,1737,47,1703,2502,45,3
1753,418,90,1868,926,54,1658,8395,45,38
